reporter_area_label,year,business_arrivals,personal_arrivals,tourists,total_arrivals,air_arrivals,expenditure,acc_establishments,acc_capacity,ALOS,exp_per_arrival,acc_guests,acc_overnights
Aruba,2020,19400.0,348900.0,368000.0,623000.0,368300.0,1079234148.89556,,35787.0,7.29,1732.3180560121348,279000.0,2035000.0
Aruba,2021,34300.0,772400.0,807000.0,943000.0,806600.0,1788201633.41269,,35787.0,6.93,1896.2901732902333,627000.0,4344000.0
Australia,2019,1841500.0,7624300.0,,9466000.0,9387400.0,47953000000.0,5637.0,,6.66,5065.814493978449,4515000.0,30087000.0
Australia,2020,405900.0,1421800.0,,1827700.0,1788600.0,26233965528.349102,5615.0,,3.14672822159775,14353.540257344806,826000.0,8219000.0
Australia,2021,54000.0,192300.0,,246300.0,246000.0,17131537905.280397,5757.0,,3.45385169796922,69555.57411806901,184000.0,11996000.0
Australia,2022,737100.0,2957300.0,,3694400.0,3675300.0,25323800973.3896,5892.0,,3.09461985608563,6854.645131385231,1324000.0,10345000.0
Azerbaijan,2019,850500.0,2319900.0,2876000.0,3170000.0,1285200.0,2004100000.0,642.0,73845.0,1.74,632.2082018927445,1317000.0,2241000.0
Azerbaijan,2020,177500.0,618200.0,587000.0,796000.0,219400.0,340533000.0,655.0,74882.0,1.49,427.80527638190955,267000.0,417000.0
Azerbaijan,2021,196700.0,595100.0,,792000.0,380200.0,368174000.0,712.0,78494.0,1.53,464.8661616161616,272000.0,414000.0
Azerbaijan,2022,400500.0,1201800.0,1508000.0,1602000.0,1042099.9999999999,942109000.0,757.0,83874.0,1.59,588.0830212234706,908000.0,1394000.0
Bahamas,2019,111300.0,1695600.0,1807000.0,7250000.0,1662400.0,4150000000.0,322.0,52881.0,6.04,572.4137931034483,1589000.0,9605000.0
Bahamas,2020,38284.0,402322.0,441000.0,1780270.0,410370.0,972208255.25,312.0,47880.0,6.82,546.1015774292664,389490.0,2655041.0
Bahamas,2021,31345.0,861096.0,892000.0,2022570.0,833300.0,2334131124.5,317.0,47172.0,6.48,1154.0421960673796,782364.0,5072620.0
Bahamas,2022,84035.0,1368394.0,1452400.0,6892410.0,1356830.0,4230703595.0,317.0,47172.0,5.94,613.8206512671185,1290395.0,7660309.0
Bahamas,2023,66785.0,1805273.0,1872059.0,9654799.0,1730830.0,4764041356.0,262.0,46716.0,5.61,493.4376527155045,1489581.0,8356170.0
Bahamas,2024,63248.0,1805868.0,1869133.0,11232029.0,1707130.0,5543217731.841061,282.0,48291.0,5.34,493.51882298746386,1472505.0,7868468.0
Bahrain,2019,895200.0,10166000.0,3849000.0,11061000.0,,3860000000.0,134.0,44506.3791908583,2.02,348.9738721634572,3502000.0,11158000.0
Bahrain,2020,62915.6736938588,764084.326306141,827000.0,1909000.0,,4356574468.085111,172.0,36796.0,2.14191953140568,2282.1238701336356,644387.345642737,1338624.29571667
Bahrain,2021,166000.0,2016000.0,2182000.0,3612000.0,,1655000000.0,199.0,43156.0,3.10273800947271,458.1949058693245,1700561.0544308699,5290137.01309039
Bahrain,2022,289000.0,3423000.0,3712000.0,9949000.0,,2851000000.0,217.0,47118.0,2.9762941659327,286.56146346366467,2893437.63658476,8627271.85012571
Bahrain,2023,304942.88304623804,5179057.116953759,5484000.0,12406000.0,,,233.0,48882.0,2.55273121784651,,4274858.81839246,10936133.1327569
Bahrain,2024,367000.0,6250000.0,6618000.0,14882000.0,,4227000000.0,249.0,51241.0,2.42375652616319,284.0344039779599,5158508.63270873,12515775.5359779
Barbados,2019,45200.0,477300.0,523000.0,966000.0,522600.0,1250000000.0,,,,1293.9958592132505,,
Barbados,2020,17905.0,157849.0,207400.0,545800.0,207400.0,578000000.0,,,,1058.9959692194943,,
Barbados,2021,10949.0,125179.0,144800.0,242200.0,144800.0,627000000.0,,,,2588.7696118909994,,
Barbados,2022,52354.0,450288.0,539700.0,897600.0,539700.0,928600000.0,,,,1034.536541889483,,
Barbados,2023,66815.0,508593.0,636045.8999999999,636045.8999999999,,,,,,,,
Barbados,2024,57126.0,586697.0,704340.0,704340.0,,,,,,,,
Belarus,2019,2892900.0,8939100.0,2206000.0,11832000.0,1198900.0,1290000000.0,615.0,59498.0,2.2,109.026369168357,1116000.0,2398000.0
Belarus,2020,823300.0,2775100.0,577000.0,3598000.0,438400.0,546000000.0,613.0,58999.0,2.48646125116713,151.75097276264592,320000.0,772000.0
Belarus,2021,728900.0,2632100.0,787000.0,3361000.0,414200.0,661529396.46,592.0,57489.0,2.36474576271186,196.82517002677776,402000.0,1102000.0
Belarus,2022,732300.0,4188100.0000000005,1492000.0,4920000.0,416400.0,,592.0,57672.0,2.13698630136986,,797000.0,1677000.0
Belgium,2019,3148400.0,6194900.0,9343000.0,9343300.0,,10516000000.0,4077.0,280622.0,1.86,1125.5123992593624,6800000.0,12669000.0
Belgium,2020,840174.0,1744000.0,2584000.0,2584000.0,,7887755192.64543,3925.0,275749.0,1.778673422386,3052.536839259067,1804000.0,3480000.0
